id_equipo,nombre,abreviatura,ciudad,nombre_equipo,color,logo
29,Arizona Diamondbacks,ARI,Arizona,Diamondbacks,aa182c,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png
11,Athletics,ATH,Athletics,Athletics,3831,https://a.espncdn.com/i/teamlogos/mlb/500/ath.png
15,Atlanta Braves,ATL,Atlanta,Braves,0c2340,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png
1,Baltimore Orioles,BAL,Baltimore,Orioles,df4601,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png
2,Boston Red Sox,BOS,Boston,Red Sox,0d2b56,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png
16,Chicago Cubs,CHC,Chicago,Cubs,0e3386,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png
4,Chicago White Sox,CHW,Chicago,White Sox,0,https://a.espncdn.com/i/teamlogos/mlb/500/chw.png
17,Cincinnati Reds,CIN,Cincinnati,Reds,c6011f,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png
5,Cleveland Guardians,CLE,Cleveland,Guardians,002b5c,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png
27,Colorado Rockies,COL,Colorado,Rockies,33006f,https://a.espncdn.com/i/teamlogos/mlb/500/col.png
6,Detroit Tigers,DET,Detroit,Tigers,0a2240,https://a.espncdn.com/i/teamlogos/mlb/500/det.png
18,Houston Astros,HOU,Houston,Astros,002d62,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png
7,Kansas City Royals,KC,Kansas City,Royals,4687,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png
3,Los Angeles Angels,LAA,Los Angeles,Angels,ba0021,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png
19,Los Angeles Dodgers,LAD,Los Angeles,Dodgers,005a9c,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png
28,Miami Marlins,MIA,Miami,Marlins,00a3e0,https://a.espncdn.com/i/teamlogos/mlb/500/mia.png
8,Milwaukee Brewers,MIL,Milwaukee,Brewers,13294b,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png
9,Minnesota Twins,MIN,Minnesota,Twins,031f40,https://a.espncdn.com/i/teamlogos/mlb/500/min.png
21,New York Mets,NYM,New York,Mets,002d72,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png
10,New York Yankees,NYY,New York,Yankees,132448,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png
22,Philadelphia Phillies,PHI,Philadelphia,Phillies,e81828,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png
23,Pittsburgh Pirates,PIT,Pittsburgh,Pirates,0,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png
25,San Diego Padres,SD,San Diego,Padres,2f241d,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png
26,San Francisco Giants,SF,San Francisco,Giants,0,https://a.espncdn.com/i/teamlogos/mlb/500/sf.png
12,Seattle Mariners,SEA,Seattle,Mariners,005c5c,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png
24,St. Louis Cardinals,STL,St. Louis,Cardinals,be0a14,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png
30,Tampa Bay Rays,TB,Tampa Bay,Rays,092c5c,https://a.espncdn.com/i/teamlogos/mlb/500/tb.png
13,Texas Rangers,TEX,Texas,Rangers,3278,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png
14,Toronto Blue Jays,TOR,Toronto,Blue Jays,134a8e,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png
20,Washington Nationals,WSH,Washington,Nationals,ab0003,https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png
